preco,area_m2,quartos,banheiros,vagas,localizacao,imovel
155000.0,50,2.0,1.0,1.0,"Campos Ville, Araraquara",Apartamento
88404.0,45,2.0,1.0,1.0,"Parque Laranjeiras, Araraquara",Apartamento
81964.0,46,2.0,1.0,1.0,"Vila Cidade Industrial (Vila Xavier), Araraquara",Apartamento
89575.0,44,2.0,1.0,1.0,"Jardim América (Vila Xavier), Araraquara",Apartamento
125000.0,44,2.0,1.0,1.0,"Vila Xavier (Vila Xavier), Araraquara",Apartamento
165536.0,51,2.0,1.0,1.0,"Cidade Jardim, Araraquara",Apartamento
600000.0,182,4.0,2.0,4.0,"Centro, Araraquara",Casa
255000.0,213,3.0,2.0,2.0,"Jardim Pinheiros (Vila Xavier), Araraquara",comercial
300000.0,169,3.0,1.0,2.0,"Jardim Brasil (Vila Xavier), Araraquara",comercial
180000.0,43,2.0,1.0,1.0,"Jardim Residencial Paraíso, Araraquara",Apartamento
87819.0,43,2.0,1.0,1.0,"Campos Ville, Araraquara",Apartamento
220000.0,47,2.0,1.0,1.0,"Jardim Residencial Paraíso, Araraquara",Apartamento
145000.0,46,2.0,1.0,1.0,"Jardim América (Vila Xavier), Araraquara",Apartamento
340000.0,92,2.0,2.0,1.0,"Jardim São Francisco, Araraquara",comercial
160432.0,46,2.0,1.0,1.0,"Parque Laranjeiras, Araraquara",Apartamento
180000.0,43,2.0,1.0,1.0,"Jardim Residencial Paraíso, Araraquara",Apartamento
680000.0,232,3.0,4.0,3.0,"Centro, Araraquara",Casa
72988.0,39,2.0,1.0,1.0,"Parque Residencial Iguatemi, Araraquara",Apartamento
320000.0,133,2.0,1.0,2.0,"Jardim Imperador, Araraquara",Casa
300000.0,49,2.0,2.0,1.0,"Jardim dos Manacás, Araraquara",Apartamento
425000.0,154,3.0,2.0,4.0,"Vila Xavier (Vila Xavier), Araraquara",comercial
265000.0,50,2.0,1.0,1.0,"Jardim Bandeirantes, Araraquara",Apartamento
168000.0,46,2.0,1.0,1.0,"Jardim das Flores, Araraquara",Apartamento
550000.0,270,3.0,1.0,2.0,"Jardim Higienópolis, Araraquara",comercial
350000.0,182,2.0,2.0,2.0,"Jardim Residencial Elvio Lupo, Araraquara",Casa
790000.0,539,4.0,6.0,2.0,"Vila Ferroviária, Araraquara",Casa
114838.0,43,2.0,1.0,1.0,"Jardim Residencial Paraíso, Araraquara",Apartamento
290000.0,49,2.0,1.0,1.0,"Vila Suconasa, Araraquara",Apartamento
300000.0,101,2.0,2.0,2.0,"Jardim Brasil (Vila Xavier), Araraquara",Casa
250000.0,50,2.0,1.0,1.0,"Jardim Bandeirantes, Araraquara",Apartamento
260000.0,56,2.0,1.0,1.0,"Jardim Residencial Paraíso, Araraquara",Apartamento
255000.0,49,2.0,1.0,1.0,"Vila Furlan, Araraquara",Apartamento
155000.0,56,2.0,1.0,1.0,"Jardim América (Vila Xavier), Araraquara",Apartamento
638000.0,267,4.0,2.0,4.0,"Jardim Ártico, Araraquara",comercial
165000.0,39,2.0,1.0,1.0,"Jardim Universal, Araraquara",Apartamento
280000.0,63,2.0,1.0,1.0,"Jardim dos Manacás, Araraquara",Apartamento
87819.0,43,1.0,1.0,1.0,"Jardim Residencial Paraíso, Araraquara",Apartamento
390000.0,95,3.0,3.0,2.0,"Jardim Roberto Selmi Dei, Araraquara",Casa
675000.0,222,3.0,3.0,3.0,"Jardim Ártico, Araraquara",comercial
550000.0,180,3.0,3.0,4.0,"Vila Esperança (Vila Xavier), Araraquara",Casa
370000.0,146,2.0,1.0,2.0,"Jardim Imperador II, Araraquara",Casa
119806.0,47,2.0,1.0,1.0,"Jardim São Rafael I, Araraquara",Apartamento
80000.0,50,2.0,1.0,1.0,"Jardim Residencial Paraíso, Araraquara",Apartamento
490000.0,233,2.0,3.0,2.0,"Jardim Almeida, Araraquara",Casa
364000.0,136,3.0,2.0,1.0,"Vila Cidade Industrial (Vila Xavier), Araraquara",comercial
130000.0,44,2.0,1.0,1.0,"Jardim Residencial Elvio Lupo, Araraquara",Apartamento
430000.0,102,2.0,1.0,2.0,"Cidade Jardim, Araraquara",comercial
187000.0,39,2.0,1.0,1.0,"Altos do Jaraguá, Araraquara",Apartamento
430000.0,178,3.0,1.0,2.0,"Residencial Cambuy, Araraquara",comercial
175000.0,51,2.0,1.0,1.0,"Altos do Jaraguá, Araraquara",Apartamento
320000.0,86,1.0,1.0,1.0,"Jardim do Carmo, Araraquara",comercial
680000.0,224,3.0,2.0,2.0,"Jardim Almeida, Araraquara",Casa
250000.0,45,2.0,1.0,1.0,"Residencial Cambuy, Araraquara",Apartamento
275000.0,49,2.0,1.0,1.0,"Vila Suconasa, Araraquara",Apartamento
140000.0,50,2.0,1.0,1.0,"Jardim Universal, Araraquara",Apartamento
330000.0,96,2.0,2.0,4.0,"Jardim do Bosque, Araraquara",Casa
195000.0,51,2.0,1.0,1.0,"Parque Laranjeiras, Araraquara",Apartamento
250000.0,50,2.0,1.0,1.0,"Jardim Bandeirantes, Araraquara",Apartamento
300000.0,220,2.0,1.0,1.0,"Vila Xavier (Vila Xavier), Araraquara",comercial
270000.0,51,2.0,1.0,1.0,"Residencial Cambuy, Araraquara",Apartamento
155000.0,49,2.0,1.0,1.0,"Jardim Quitandinha, Araraquara",Apartamento
199499.0,50,2.0,1.0,1.0,"Jardim Residencial Elvio Lupo, Araraquara",Apartamento
280000.0,182,3.0,2.0,2.0,"Jardim Cruzeiro do Sul I e II, Araraquara",comercial
250000.0,48,2.0,1.0,1.0,"Jardim Bandeirantes, Araraquara",Apartamento
270000.0,49,2.0,1.0,1.0,"Vila Suconasa, Araraquara",Apartamento
290000.0,156,1.0,2.0,2.0,"Centro, Araraquara",comercial
380000.0,143,2.0,1.0,2.0,"Jardim Pinheiros (Vila Xavier), Araraquara",Casa
495000.0,248,3.0,2.0,3.0,"Jardim dos Ipês, Araraquara",Casa
180000.0,50,2.0,1.0,1.0,"Campos Ville, Araraquara",Apartamento
99000.0,50,2.0,1.0,1.0,"Jardim Residencial Paraíso, Araraquara",Apartamento
430000.0,169,2.0,3.0,1.0,"Jardim Adalberto Frederico de Oliveira Roxo I, Araraquara",comercial
270000.0,54,2.0,2.0,2.0,"Jardim dos Industriários, Araraquara",Casa
329000.0,142,2.0,2.0,3.0,"Centro, Araraquara",comercial
240000.0,47,1.0,1.0,1.0,"Centro, Araraquara",Apartamento
380000.0,141,2.0,1.0,2.0,"Jardim Viaduto (Vila Xavier), Araraquara",Casa
