title,price,location,link
Venda-Casa de condomínio-Araraquara-Jardim Acacias I,R$ 1.350.000,"Araraquara, Jardim Magnólias",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/venda-casa-de-condominio-araraquara-jardim-acacias-i-1476044663
Vendo Apartamento no Condomínio Vancouver,R$ 230.000,"Araraquara, Jardim Magnólias",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/vendo-apartamento-no-condominio-vancouver-1476024161
Apartamento jardim imperador,R$ 255.000,"Araraquara, Jardim do Bosque",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/apartamento-jardim-imperador-1460662155
Casa próximo ao shopping Jaraguá,R$ 750.000,"Araraquara, Parque Laranjeiras",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/casa-proximo-ao-shopping-jaragua-1447079450
Apartamento 2 Quartos no Centro de Araraquara - 48m² - Próximo a Tudo,R$ 2.108.000,"Araraquara, Centro",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/apartamento-2-quartos-no-centro-de-araraquara-48m-proximo-a-tudo-1474244472
Casa com salão comercial,R$ 350.000,"Araraquara, Vila Xavier (Vila Xavier)",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/casa-com-salao-comercial-1454211746
Apartamento à venda 3 quartos no Edifício Jacarandá - Araraquara / SP,R$ 220.000,"Araraquara, Vila Yamada",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/apartamento-a-venda-3-quartos-no-edificio-jacaranda-araraquara-sp-1475957562
Vendo Apartamento com dois dormitórios (uma suíte),R$ 159.313,"Araraquara, Vila Ferroviária",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/vendo-apartamento-com-dois-dormitorios-uma-suite-1475115208
Apartamento em Vila Harmonia- Araraquara,R$ 900.000,"Araraquara, Vila Harmonia",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/apartamento-em-vila-harmonia-araraquara-1475941399
"Casa em condomínio, com móveis planejados e área gourmet.",R$ 1.600.000,"Araraquara, Jardim Marialice",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/casa-em-condominio-com-moveis-planejados-e-area-gourmet-1475930286
Venda de Casas / Padrão na cidade de Araraquara,R$ 449.000,"Araraquara, Jardim Gardênias",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/venda-de-casas-padrao-na-cidade-de-araraquara-1475916571
Leilão - ARARAQUARA/SP - APARTAMENTO,R$ 390.000,"Araraquara, Parque Laranjeiras",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/leilao-araraquara-sp-apartamento-1468671242
Leilão - ARARAQUARA/SP - APARTAMENTO,R$ 170.000,"Araraquara, Cidade Jardim",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/leilao-araraquara-sp-apartamento-1468670931
Leilão - ARARAQUARA/SP - APARTAMENTO - APTO 2 QUARTOS,R$ 127.000,"Araraquara, Jardim São Rafael I",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/leilao-araraquara-sp-apartamento-apto-2-quartos-1468670895
Leilão - ARARAQUARA/SP - APARTAMENTO,R$ 980.000,"Araraquara, Jardim das Flores",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/leilao-araraquara-sp-apartamento-1470640962
"Condomínio Sollaris: 136 m² construídos, 3 quartos, suíte, cozinha planejada integrada com",R$ 649.000,"Araraquara, Jardim Maria Luiza V",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/condominio-sollaris-136-m-construidos-3-quartos-suite-cozinha-planejada-integrada-com-1475873801
Venda de Apartamentos / Padrão na cidade de Araraquara,R$ 180.000,"Araraquara, Jardim Morumbi",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/venda-de-apartamentos-padrao-na-cidade-de-araraquara-1475855902
Venda de Casas / Condomínio na cidade de Araraquara,R$ 750.000,"Araraquara, Residencial Village Damha III",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/venda-de-casas-condominio-na-cidade-de-araraquara-1475855888
Venda de Casas / Condomínio na cidade de Araraquara,R$ 990.000,"Araraquara, Residencial Volpi",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/venda-de-casas-condominio-na-cidade-de-araraquara-1475836888
Venda de Casas / Padrão na cidade de Araraquara,R$ 170.000,"Araraquara, Jardim Maria Luiza",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/venda-de-casas-padrao-na-cidade-de-araraquara-1475832966
Venda de Casas / Padrão na cidade de Araraquara,R$ 320.000,"Araraquara, Jardim Santa Clara (Vila Xavier)",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/venda-de-casas-padrao-na-cidade-de-araraquara-1475832345
"Apartamento para locação, Vila Harmonia, Araraquara, SP",R$ 650.000,"Araraquara, Vila Harmonia",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/apartamento-para-locacao-vila-harmonia-araraquara-sp-1475831394
"Casa à venda, Jardim Cruzeiro do Sul I, Araraquara, SP",R$ 595.000,"Araraquara, Jardim Cruzeiro do Sul I e II",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/casa-a-venda-jardim-cruzeiro-do-sul-i-araraquara-sp-1475831309
"Apartamento à venda, Vila Xavier, Araraquara, SP",R$ 395.000,"Araraquara, Vila Cidade Industrial (Vila Xavier)",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/apartamento-a-venda-vila-xavier-araraquara-sp-1475831091
Apartamento para venda tem 39 metros quadrados com 2 quartos,R$ 160.000,"Araraquara, Altos do Jaraguá",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/apartamento-para-venda-tem-39-metros-quadrados-com-2-quartos-1429426275
Leilão - ARARAQUARA/SP - CASA - RESIDENCIAL 2 QUARTOS,R$ 200.000,"Araraquara, Jardim Ipê Amarelo",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/leilao-araraquara-sp-casa-residencial-2-quartos-1468671646
"Apartamento com 2 dormitórios à venda, 40 m² por R$ 127.000 - Parque Residencial Iguatemi",R$ 127.000,"Araraquara, Parque Residencial Iguatemi",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/apartamento-com-2-dormitorios-a-venda-40-m-por-r-127-000-parque-residencial-iguatemi-1475793819
"Apartamento com 3 dormitórios à venda, 72 m² por R$ 390.000 - Residencial Cambuy - Araraqu",R$ 390.000,"Araraquara, Residencial Cambuy",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/apartamento-com-3-dormitorios-a-venda-72-m-por-r-390-000-residencial-cambuy-araraqu-1475792628
Casa à venda 3 quartos no Condomínio Buona Vita - Araraquara / SP,R$ 980.000,"Araraquara, Condomínio Buona Vita",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/casa-a-venda-3-quartos-no-condominio-buona-vita-araraquara-sp-1475702459
Casa com piscina em condomínio fechado,R$ 1.150.000,"Araraquara, Jardim Santa Angelina",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/casa-com-piscina-em-condominio-fechado-1453065929
Apartamento Padrão em Araraquara,R$ 649.000,"Araraquara, Vila João Godói",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/apartamento-padrao-em-araraquara-1475672338
"Oportunidade! Apartamento térreo, com ótima localização.",R$ 150.000,"Araraquara, Jardim Residencial Paraíso",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/oportunidade-apartamento-terreo-com-otima-localizacao-1475672070
