title,price,location,link
"Casa no centro com 4 dormitórios à venda, 182 m² por R$ 600.000 - Jardim Nova América - Ar",R$ 600.000,"Araraquara, Centro",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/casa-no-centro-com-4-dormitorios-a-venda-182-m-por-r-600-000-jardim-nova-america-ar-1474913849
"Casa com 3 dormitórios à venda no Selmi Dei, 209 m² por R$ 280.000 - Jardim Roberto Selmi",R$ 239.000,"Araraquara, Jardim Roberto Selmi Dei",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/casa-com-3-dormitorios-a-venda-no-selmi-dei-209-m-por-r-280-000-jardim-roberto-selmi-1474913192
"Apartamento de 1 quarto 1 banheiro e 1 vaga à venda no condomínio Sun House - Araraquara,",R$ 850.000,"Araraquara, Centro",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/apartamento-de-1-quarto-1-banheiro-e-1-vaga-a-venda-no-condominio-sun-house-araraquara-1474903552
Condominio Volpi : Casa em Constuçãoárea construída de 172.48 metros quadrados,R$ 1.150.000,"Araraquara, Residencial Volpi",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/condominio-volpi-casa-em-constucaoarea-construida-de-172-48-metros-quadrados-1474894960
Village Damha 2: Casa com Planejados- 3 Suites - area gourmet conforto e modernidade,R$ 945.000,"Araraquara, Residencial Village Damha II",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/village-damha-2-casa-com-planejados-3-suites-area-gourmet-conforto-e-modernidade-1474894971
Vendo apartamento ed dos estados,R$ 748.000,"Araraquara, Vila Esperança (Vila Xavier)",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/vendo-apartamento-ed-dos-estados-1474823709
Casa com piscina em condomínio fechado,R$ 320.000,"Araraquara, Jardim Santa Angelina",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/casa-com-piscina-em-condominio-fechado-1453065929
Imóvel para venda com 47 metros quadrados com 2 quartos em Jardim São Rafael I - Araraquar,R$ 230.000,"Araraquara, Jardim São Rafael I",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/imovel-para-venda-com-47-metros-quadrados-com-2-quartos-em-jardim-sao-rafael-i-araraquar-1474780285
"Apartamento à venda, 124 m² por R$ 945.000,00 - Centro - Araraquara/SP",R$ 955.000,"Araraquara, Centro",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/apartamento-a-venda-124-m-por-r-945-000-00-centro-araraquara-sp-1474773087
"Apartamento à venda, 124 m² por R$ 935.000,00 - Centro - Araraquara/SP",R$ 894.000,"Araraquara, Centro",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/apartamento-a-venda-124-m-por-r-935-000-00-centro-araraquara-sp-1474772715
"Apartamento à venda, 96 m² por R$ 748.000,00 - Centro - Araraquara/SP",R$ 320.000,"Araraquara, Centro",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/apartamento-a-venda-96-m-por-r-748-000-00-centro-araraquara-sp-1474772629
"Apartamento à venda, 124 m² por R$ 894.000,00 - Centro - Araraquara/SP",R$ 896.000,"Araraquara, Centro",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/apartamento-a-venda-124-m-por-r-894-000-00-centro-araraquara-sp-1474772424
Apartamento para venda na Vila Suconasa em Araraquara.,R$ 955.000,"Araraquara, Vila Suconasa",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/apartamento-para-venda-na-vila-suconasa-em-araraquara-1474772328
"Apartamento à venda, 124 m² por R$ 870.000,00 - Centro - Araraquara/SP",R$ 510.000,"Araraquara, Centro",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/apartamento-a-venda-124-m-por-r-870-000-00-centro-araraquara-sp-1474771581
Casa Padrão em Araraquara,R$ 810.000,"Araraquara, Parque Residencial Iguatemi",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/casa-padrao-em-araraquara-1474771460
"Apartamento à venda, 124 m² por R$ 896.000,00 - Centro - Araraquara/SP",R$ 430.000,"Araraquara, Centro",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/apartamento-a-venda-124-m-por-r-896-000-00-centro-araraquara-sp-1474771208
"Apartamento à venda, 124 m² por R$ 955.000,00 - Centro - Araraquara/SP",R$ 220.000,"Araraquara, Centro",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/apartamento-a-venda-124-m-por-r-955-000-00-centro-araraquara-sp-1474771095
Casa Sobrado em Araraquara,R$ 890.000,"Araraquara, Parque Gramado (Vila Xavier)",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/casa-sobrado-em-araraquara-1474769906
"Apartamento à venda, 124 m² por R$ 894.000,00 - Centro - Araraquara/SP",R$ 730.000,"Araraquara, Centro",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/apartamento-a-venda-124-m-por-r-894-000-00-centro-araraquara-sp-1474769619
APARTAMENTO - ARARAQUARA/SP - BAIRRO VILA XAVIER - 2 QUARTOS,R$ 694.360,"Araraquara, Jardim Brasil (Vila Xavier)",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/apartamento-araraquara-sp-bairro-vila-xavier-2-quartos-1474767991
Apartamento para venda na Vila Suconasa em Araraquara.,R$ 319.490,"Araraquara, Vila Suconasa",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/apartamento-para-venda-na-vila-suconasa-em-araraquara-1474767609
"Apartamento à venda, 124 m² por R$ 870.000,00 - Centro - Araraquara/SP",R$ 454.730,"Araraquara, Centro",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/apartamento-a-venda-124-m-por-r-870-000-00-centro-araraquara-sp-1474767547
"Apartamento à venda, 124 m² por R$ 896.000,00 - Centro - Araraquara/SP",R$ 1.179.110,"Araraquara, Centro",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/apartamento-a-venda-124-m-por-r-896-000-00-centro-araraquara-sp-1474767535
"Apartamento à venda, 96 m² por R$ 748.000,00 - Centro - Araraquara/SP",R$ 529.610,"Araraquara, Centro",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/apartamento-a-venda-96-m-por-r-748-000-00-centro-araraquara-sp-1474767440
"Apartamento à venda, 124 m² por R$ 955.000,00 - Centro - Araraquara/SP",R$ 699.570,"Araraquara, Centro",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/apartamento-a-venda-124-m-por-r-955-000-00-centro-araraquara-sp-1474766094
Venda de Apartamentos / Padrão na cidade de Araraquara,R$ 145.000,"Araraquara, Vila Xavier (Vila Xavier)",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/venda-de-apartamentos-padrao-na-cidade-de-araraquara-1474747610
Venda de Casas / Padrão na cidade de Araraquara,R$ 510.000,"Araraquara, Vila Furlan",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/venda-de-casas-padrao-na-cidade-de-araraquara-1474747478
Venda de Casas / Padrão na cidade de Araraquara,R$ 370.000,"Araraquara, Centro",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/venda-de-casas-padrao-na-cidade-de-araraquara-1474747342
Venda de Casas / Condomínio na cidade de Araraquara,R$ 810.000,"Araraquara, Jardim Botânico",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/venda-de-casas-condominio-na-cidade-de-araraquara-1474747080
Venda de Apartamentos / Padrão na cidade de Araraquara,R$ 215.000,"Araraquara, Jardim Botânico",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/venda-de-apartamentos-padrao-na-cidade-de-araraquara-1474746920
Venda de Apartamentos / Padrão na cidade de Araraquara,R$ 430.000,"Araraquara, Centro",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/venda-de-apartamentos-padrao-na-cidade-de-araraquara-1474746817
Venda de Apartamentos / Padrão na cidade de Araraquara,R$ 700.000,"Araraquara, Centro",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/venda-de-apartamentos-padrao-na-cidade-de-araraquara-1474746806
Leilão - ARARAQUARA/SP - APARTAMENTO,R$ 220.000,"Araraquara, Cidade Jardim",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/leilao-araraquara-sp-apartamento-1468670931
Leilão - ARARAQUARA/SP - APARTAMENTO - APTO 2 QUARTOS,R$ 215.552,"Araraquara, Jardim São Rafael I",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/leilao-araraquara-sp-apartamento-apto-2-quartos-1468670895
Casa exclusiva 3 suítes + piscina + escritório PARQUE ATLANTA,R$ 890.000,"Araraquara, Parque Atlanta",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/casa-exclusiva-3-suites-piscina-escritorio-parque-atlanta-1460220123
Venda de Casas / Condomínio na cidade de Araraquara,R$ 800.000,"Araraquara, Residencial Tivoli",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/venda-de-casas-condominio-na-cidade-de-araraquara-1474683970
Venda de Apartamentos / Padrão na cidade de Araraquara,R$ 730.000,"Araraquara, Centro",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/venda-de-apartamentos-padrao-na-cidade-de-araraquara-1474683679
Casa em Rua João Velosa do Amaral - Parque Residencial Vale do Sol - Araraquara/SP,R$ 349.140,"Araraquara, Parque Residencial Vale do Sol",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/casa-em-rua-joao-velosa-do-amaral-parque-residencial-vale-do-sol-araraquara-sp-1474679561
Casa em Avenida Francisco de Assis Bezerra Filho - Jardim Nova América - Araraquara/SP,R$ 694.360,"Araraquara, Jardim Nova América",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/casa-em-avenida-francisco-de-assis-bezerra-filho-jardim-nova-america-araraquara-sp-1474679417
Casa de condomínio em Avenida dos Buritis - Residencial Village Damha III - Araraquara/SP,R$ 1.129.730,"Araraquara, Residencial Village Damha III",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/casa-de-condominio-em-avenida-dos-buritis-residencial-village-damha-iii-araraquara-sp-1474679080
Apartamento em Rua Luiz Saska - Jardim Celiamar - Araraquara/SP,R$ 319.490,"Araraquara, Jardim Celiamar",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/apartamento-em-rua-luiz-saska-jardim-celiamar-araraquara-sp-1474678387
Casa de condomínio em Avenida Oswaldo Gonçalves de Jesus - Condomínio Buona Vita - Araraqu,R$ 1.199.290,"Araraquara, Condomínio Buona Vita",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/casa-de-condominio-em-avenida-oswaldo-goncalves-de-jesus-condominio-buona-vita-araraqu-1474677712
Casa em Avenida João Martins Nogueira - Jardim Morada do Sol (Vila Xavier) - Araraquara/SP,R$ 454.730,"Araraquara, Jardim Morada do Sol (Vila Xavier)",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/casa-em-avenida-joao-martins-nogueira-jardim-morada-do-sol-vila-xavier-araraquara-sp-1474677504
Casa de condomínio em Avenida Luiz Dosualdo - Jardim Imperador - Araraquara/SP,R$ 1.799.240,"Araraquara, Jardim Imperador",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/casa-de-condominio-em-avenida-luiz-dosualdo-jardim-imperador-araraquara-sp-1474676933
Casa em Avenida Benedito Silveira Cruz - Vila Xavier (Vila Xavier) - Araraquara/SP,R$ 1.179.110,"Araraquara, Vila Xavier (Vila Xavier)",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/casa-em-avenida-benedito-silveira-cruz-vila-xavier-vila-xavier-araraquara-sp-1474676782
Casa de condomínio em Rua Ettore Berti - Parque Residencial Damha - Araraquara/SP,R$ 1.099.620,"Araraquara, Residencial Village Damha",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/casa-de-condominio-em-rua-ettore-berti-parque-residencial-damha-araraquara-sp-1474676421
Casa de condomínio em Avenida Manoel Marques de Jesus Júnior - Jardim Marialice - Araraqua,R$ 529.610,"Araraquara, Jardim Marialice",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/casa-de-condominio-em-avenida-manoel-marques-de-jesus-junior-jardim-marialice-araraqua-1474676496
Casa de condomínio em Avenida Luiz Dosualdo - Condomínio Portal das Tipuanas - Araraquara/,R$ 1.589.380,"Araraquara, Condomínio Portal das Tipuanas",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/casa-de-condominio-em-avenida-luiz-dosualdo-condominio-portal-das-tipuanas-araraquara-1474676194
Casa em Rua Venâncio Alonso Perez - Vila Melhado - Araraquara/SP,R$ 699.570,"Araraquara, Vila Melhado",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/casa-em-rua-venancio-alonso-perez-vila-melhado-araraquara-sp-1474675842
Casa em Avenida Doutor Giuseppe Aufiero - Jardim Imperador - Araraquara/SP,R$ 559.530,"Araraquara, Jardim Imperador",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/casa-em-avenida-doutor-giuseppe-aufiero-jardim-imperador-araraquara-sp-1474675447
Apartamento em Rua Doutor Waldo Barbieri - Jardim Viaduto (Vila Xavier) - Araraquara/SP,R$ 319.660,"Araraquara, Jardim Viaduto (Vila Xavier)",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/apartamento-em-rua-doutor-waldo-barbieri-jardim-viaduto-vila-xavier-araraquara-sp-1474675144
Apartamento em Avenida Paulino Rodella - Jardim das Flores - Araraquara/SP,R$ 1.499.780,"Araraquara, Jardim das Flores",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/apartamento-em-avenida-paulino-rodella-jardim-das-flores-araraquara-sp-1474675054
Casa de condomínio em Avenida Deputado Federal Mário Eugênio - Parque Residencial Damha -,R$ 1.499.110,"Araraquara, Parque Residencial Damha",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/casa-de-condominio-em-avenida-deputado-federal-mario-eugenio-parque-residencial-damha-1474674390
Apartamento em Rua Castro Alves - Jardim Morumbi - Araraquara/SP,R$ 1.079.840,"Araraquara, Jardim Morumbi",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/apartamento-em-rua-castro-alves-jardim-morumbi-araraquara-sp-1474674183
Casa de condomínio em Rua E - Quinta do Salto Residence - Araraquara/SP,R$ 234.420,"Araraquara, Quinta do Salto Residence",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/casa-de-condominio-em-rua-e-quinta-do-salto-residence-araraquara-sp-1474674009
Casa de condomínio em Rua Manoel Clemente - Jardim Maria Luiza IV - Araraquara/SP,R$ 299.470,"Araraquara, Jardim Maria Luiza IV",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/casa-de-condominio-em-rua-manoel-clemente-jardim-maria-luiza-iv-araraquara-sp-1474672430
Casa em Rua Major Carvalho Filho - Jardim Primavera - Araraquara/SP,R$ 634.360,"Araraquara, Centro",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/casa-em-rua-major-carvalho-filho-jardim-primavera-araraquara-sp-1474672159
Casa em Avenida Elvira Schiavo Ianelli - Jardim Botânico - Araraquara/SP,R$ 799.470,"Araraquara, Jardim Botânico",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/casa-em-avenida-elvira-schiavo-ianelli-jardim-botanico-araraquara-sp-1474671752
Casa em Avenida Professor Augusto Cezar - Centro - Araraquara/SP,R$ 484.140,"Araraquara, Centro",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/casa-em-avenida-professor-augusto-cezar-centro-araraquara-sp-1474671159
Apartamento em Rua Luiz Saska - Jardim Imperador - Araraquara/SP,R$ 1.349.250,"Araraquara, Jardim Magnólias",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/apartamento-em-rua-luiz-saska-jardim-imperador-araraquara-sp-1474671356
Casa de condomínio em Avenida Alberto Santos Dumont - Jardim Dumont - Araraquara/SP,R$ 1.449.780,"Araraquara, Jardim Dumont",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/casa-de-condominio-em-avenida-alberto-santos-dumont-jardim-dumont-araraquara-sp-1474670941
Sobrado em Avenida Irmã Antonia de Arruda Camargo - Jardim Vale das Rosas - Araraquara/SP,R$ 196.410,"Araraquara, Jardim Vale das Rosas",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/sobrado-em-avenida-irma-antonia-de-arruda-camargo-jardim-vale-das-rosas-araraquara-sp-1474670858
